2023-10-26 16:25:52.635 | INFO     | __main__:launch:22 - 已启动 Book Consultant 服务
2023-10-26 16:29:00.008 | INFO     | __main__:launch:22 - 已启动 Book Consultant 服务
2023-10-26 16:29:12.202 | INFO     | book_consultant:ask:35 - question: 你们有os方面的书吗
2023-10-26 16:29:16.456 | INFO     | book_consultant:ask:37 - reply: {'query': '你们有os方面的书吗', 'result': ' 抱歉，我们现在没有这类书，我会记录下来并通知后台补货。您想知道货物到货后是否要通知您吗？', 'source_documents': []}
2023-10-26 16:29:40.280 | INFO     | book_consultant:ask:35 - question: 有python方面的书吗
2023-10-26 16:30:25.286 | INFO     | book_consultant:ask:37 - reply: {'query': '有python方面的书吗', 'result': ' 是的，我们有《Python 编程入门》这本书，作者是Eric Matthes，价格是59.99美元，发布年份是2020-03，出版社是No Starch Press，简介是这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。', 'source_documents': [Document(page_content='书名：《Python 编程入门》\n作者：Eric Matthes\n分类：编程语言\n价格：59.99\n发布年份：2020-03\n出版社：No Starch Press\n简介：这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。', metadata={'source': '计算机科学_edited.json', 'seq_num': 1, 'book_name': 'Python 编程入门', 'author': 'Eric Matthes', 'classify': '编程语言', 'price': 59.99, 'publish_date': '2020-03', 'press': 'No Starch Press', 'summary': '这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。'}), Document(page_content='书名：《深度学习》\n作者：Ian Goodfellow, Yoshua Bengio, Aaron Courville\n分类：人工智能\n价格：89.99\n发布年份：2016-11\n出版社：MIT Press\n简介：这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。', metadata={'source': '计算机科学_edited.json', 'seq_num': 2, 'book_name': '深度学习', 'author': 'Ian Goodfellow, Yoshua Bengio, Aaron Courville', 'classify': '人工智能', 'price': 89.99, 'publish_date': '2016-11', 'press': 'MIT Press', 'summary': '这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。'}), Document(page_content="书名：《Web开发权威指南》\n作者：Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates\n分类：Web开发\n价格：69.99\n发布年份：2006-11\n出版社：O'Reilly Media\n简介：这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。", metadata={'source': '计算机科学_edited.json', 'seq_num': 7, 'book_name': 'Web开发权威指南', 'author': 'Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates', 'classify': 'Web开发', 'price': 69.99, 'publish_date': '2006-11', 'press': "O'Reilly Media", 'summary': '这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。'})]}
2023-10-26 16:33:32.423 | INFO     | __main__:launch:27 - 已启动 Book Consultant 服务
2023-10-26 16:34:05.445 | INFO     | book_consultant:ask:35 - question: 你们有os方面的书吗
2023-10-26 16:34:09.439 | INFO     | book_consultant:ask:37 - reply: {'query': '你们有os方面的书吗', 'result': ' 抱歉，我们目前没有这类书，我会记录下来，并通知后端补货。补货到货后我可以通知你吗？', 'source_documents': []}
2023-10-26 16:34:09.440 | INFO     | __main__:ask:8 - reply:  抱歉，我们目前没有这类书，我会记录下来，并通知后端补货。补货到货后我可以通知你吗？
2023-10-26 16:34:49.568 | INFO     | __main__:launch:28 - 已启动 Book Consultant 服务
2023-10-26 16:35:10.778 | INFO     | book_consultant:ask:35 - question: 我想成为编程高手，有这方面的书吗
2023-10-26 16:35:14.565 | INFO     | book_consultant:ask:37 - reply: {'query': '我想成为编程高手，有这方面的书吗', 'result': ' 我们没有这类书，我会记录下来，并通知后台补货。补货到货时可以通知您吗？', 'source_documents': [Document(page_content='书名：《Python 编程入门》\n作者：Eric Matthes\n分类：编程语言\n价格：59.99\n发布年份：2020-03\n出版社：No Starch Press\n简介：这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。', metadata={'source': '计算机科学_edited.json', 'seq_num': 1, 'book_name': 'Python 编程入门', 'author': 'Eric Matthes', 'classify': '编程语言', 'price': 59.99, 'publish_date': '2020-03', 'press': 'No Starch Press', 'summary': '这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。'}), Document(page_content="书名：《Web开发权威指南》\n作者：Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates\n分类：Web开发\n价格：69.99\n发布年份：2006-11\n出版社：O'Reilly Media\n简介：这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。", metadata={'source': '计算机科学_edited.json', 'seq_num': 7, 'book_name': 'Web开发权威指南', 'author': 'Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates', 'classify': 'Web开发', 'price': 69.99, 'publish_date': '2006-11', 'press': "O'Reilly Media", 'summary': '这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。'}), Document(page_content='书名：《深度学习》\n作者：Ian Goodfellow, Yoshua Bengio, Aaron Courville\n分类：人工智能\n价格：89.99\n发布年份：2016-11\n出版社：MIT Press\n简介：这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。', metadata={'source': '计算机科学_edited.json', 'seq_num': 2, 'book_name': '深度学习', 'author': 'Ian Goodfellow, Yoshua Bengio, Aaron Courville', 'classify': '人工智能', 'price': 89.99, 'publish_date': '2016-11', 'press': 'MIT Press', 'summary': '这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。'})]}
2023-10-26 16:35:14.567 | INFO     | __main__:ask:8 - reply:  我们没有这类书，我会记录下来，并通知后台补货。补货到货时可以通知您吗？
2023-10-26 16:35:28.288 | INFO     | book_consultant:ask:35 - question: 我想了解一些西方哲学，有什么书可以推荐吗
2023-10-26 16:35:33.405 | INFO     | book_consultant:ask:37 - reply: {'query': '我想了解一些西方哲学，有什么书可以推荐吗', 'result': ' 我们有一本《西方哲学史》，是由Bertrand Russell编写，分类为哲学史，价格为49.99，发布年份为2018-04，出版社为Routledge。简介：这本书回顾了西方哲学的历史发展，从古希腊哲学到现代哲学思想，涵盖了众多哲学家和哲学流派。是否感兴趣？', 'source_documents': [Document(page_content='书名：《西方哲学史》\n作者：Bertrand Russell\n分类：哲学史\n价格：49.99\n发布年份：2018-04\n出版社：Routledge\n简介：这本书回顾了西方哲学的历史发展，从古希腊哲学到现代哲学思想，涵盖了众多哲学家和哲学流派。', metadata={'source': '哲学_edited.json', 'seq_num': 1, 'book_name': '西方哲学史', 'author': 'Bertrand Russell', 'classify': '哲学史', 'price': 49.99, 'publish_date': '2018-04', 'press': 'Routledge', 'summary': '这本书回顾了西方哲学的历史发展，从古希腊哲学到现代哲学思想，涵盖了众多哲学家和哲学流派。'}), Document(page_content='书名：《知识与信仰》\n作者：Alvin Plantinga\n分类：宗教哲学\n价格：31.99\n发布年份：2015-11\n出版社：Oxford University Press\n简介：这本书探讨了知识、信仰和神的存在之间的关系，是神学和哲学的交叉领域研究。', metadata={'source': '哲学_edited.json', 'seq_num': 7, 'book_name': '知识与信仰', 'author': 'Alvin Plantinga', 'classify': '宗教哲学', 'price': 31.99, 'publish_date': '2015-11', 'press': 'Oxford University Press', 'summary': '这本书探讨了知识、信仰和神的存在之间的关系，是神学和哲学的交叉领域研究。'}), Document(page_content='书名：《道德原则与行动理论》\n作者：David Ross\n分类：道德哲学\n价格：34.99\n发布年份：2002-09\n出版社：Hackett Publishing\n简介：该书讨论了道德原则和行动理论，探究了伦理学中的基本概念和道德决策的原则。', metadata={'source': '哲学_edited.json', 'seq_num': 3, 'book_name': '道德原则与行动理论', 'author': 'David Ross', 'classify': '道德哲学', 'price': 34.99, 'publish_date': '2002-09', 'press': 'Hackett Publishing', 'summary': '该书讨论了道德原则和行动理论，探究了伦理学中的基本概念和道德决策的原则。'})]}
2023-10-26 16:35:33.407 | INFO     | __main__:ask:8 - reply:  我们有一本《西方哲学史》，是由Bertrand Russell编写，分类为哲学史，价格为49.99，发布年份为2018-04，出版社为Routledge。简介：这本书回顾了西方哲学的历史发展，从古希腊哲学到现代哲学思想，涵盖了众多哲学家和哲学流派。是否感兴趣？
2023-10-26 16:38:03.993 | INFO     | book_consultant:ask:35 - question: 有python方面的书吗
2023-10-26 16:38:06.611 | INFO     | book_consultant:ask:37 - reply: {'query': '有python方面的书吗', 'result': ' 是的，我们有《Python 编程入门》这本书，它由Eric Matthes撰写，发布于2020-03，出版社是No Starch Press，价格为59.99。', 'source_documents': [Document(page_content='书名：《Python 编程入门》\n作者：Eric Matthes\n分类：编程语言\n价格：59.99\n发布年份：2020-03\n出版社：No Starch Press\n简介：这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。', metadata={'source': '计算机科学_edited.json', 'seq_num': 1, 'book_name': 'Python 编程入门', 'author': 'Eric Matthes', 'classify': '编程语言', 'price': 59.99, 'publish_date': '2020-03', 'press': 'No Starch Press', 'summary': '这本书是初学者学习 Python 编程的绝佳选择，包含大量示例和练习，逐步引导读者掌握 Python 编程基础。'}), Document(page_content='书名：《深度学习》\n作者：Ian Goodfellow, Yoshua Bengio, Aaron Courville\n分类：人工智能\n价格：89.99\n发布年份：2016-11\n出版社：MIT Press\n简介：这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。', metadata={'source': '计算机科学_edited.json', 'seq_num': 2, 'book_name': '深度学习', 'author': 'Ian Goodfellow, Yoshua Bengio, Aaron Courville', 'classify': '人工智能', 'price': 89.99, 'publish_date': '2016-11', 'press': 'MIT Press', 'summary': '这是一本关于深度学习的经典教材，覆盖深度学习的基本原理和应用。'}), Document(page_content="书名：《Web开发权威指南》\n作者：Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates\n分类：Web开发\n价格：69.99\n发布年份：2006-11\n出版社：O'Reilly Media\n简介：这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。", metadata={'source': '计算机科学_edited.json', 'seq_num': 7, 'book_name': 'Web开发权威指南', 'author': 'Eric Freeman, Elisabeth Robson, Kathy Sierra, Bert Bates', 'classify': 'Web开发', 'price': 69.99, 'publish_date': '2006-11', 'press': "O'Reilly Media", 'summary': '这本书全面介绍了 Web 开发的各个方面，包括前端和后端开发技术。'})]}
